16;11824
11840;13296
25136;12588
37724;12072
49796;10436
60232;10752
70984;8216
79200;11144
90344;6932
97276;1240
98516;1116
99632;920
100552;3856
104408;4748
109156;2720
111876;1376
113252;2988
116240;1992
118232;1928
120160;3860
124020;2516
126536;2672
129208;2792
132000;1580
133580;1508
135088;1708
136796;2140
138936;2456
141392;2040
143432;1184
144616;4468
149084;4476
153560;564
154124;664
154788;2808
157596;3000
160596;4480
165076;908
165984;2976
168960;2764
171724;3216
174940;2984
177924;1260
179184;2076
181260;1788
183048;1928
184976;3536
188512;3180
191692;3848
195540;3080
198620;5760
204380;5348
209728;5540
215268;5316
221480;952
222464;1000
